[Header]
TITLE,NdTiGaO_multifield_He3Base._50K.dat
BYAPP,HeatCapacity,3.9.3,1.7
INFO,6.856,MASS:Sample Mass (mg)
INFO,0.005,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.3 Build 101,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3762109943.2715,,1857,8.98106,8.98106,-0.0237960964441299,9.89999989542412E-6,9.1189822,0.19557023,7.8685745,0.07616,12.923312,0.02525,20.791887,0.07185,0.68113243,7.8661466,0,100,0,0,1,,,,2.6432E-6,18.54945,83.155837,0.86287858,0
3762110016.93173,,1857,8.98504,8.98504,0.011898048222065,9.89999989542412E-6,9.1195817,0.18409236,7.7915379,0.04065,12.92457,0.02525,20.716108,0.04065,1.0332696,7.790066,0.0064081423,99.650314,0,0,1,,,,2.6606E-6,15.73229,83.166771,0.85437448,0
3762110089.5523,,1857,8.98595,8.98595,-0.0237960964441299,9.89999989542412E-6,9.1199058,0.18349159,7.764349,0.03877,12.925811,0.02525,20.69016,0.03877,1.7362431,7.771945,0.010656121,99.417609,0,0,1,,,,2.6644E-6,15.58013,83.172682,0.85136285,0
3762110708.63908,,1857,8.06427,8.06427,0,9.89999989542412E-6,8.1889932,0.17554197,5.2599908,0.05904,9.8717797,0.02684,15.13177,0.05258,0.85284082,6.6087409,0,100,0,0,1,,,,2.2897E-6,15.54389,67.059609,0.64232448,0
3762110775.42113,,1857,8.06901,8.06901,-0.0475921928882599,9.89999989542412E-6,8.1896408,0.16515793,5.2145765,0.03432,9.8728918,0.02684,15.087468,0.03432,1.1536312,6.5960015,0.019070362,98.73396,0,0,1,,,,2.2909E-6,13.21748,67.070217,0.63672835,0
3762110841.19205,,1857,8.07077,8.07077,0,9.89999989542412E-6,8.1897876,0.16184252,5.2368128,0.06003,9.8763065,0.02685,15.113119,0.05369,1.6593678,6.5272225,0,100,0,0,1,,,,2.3154E-6,13.192,67.072622,0.63943206,0
3762111438.47685,,1857,7.24221,7.24221,-0.0237960964441299,9.89999989542412E-6,7.3538409,0.1573844,3.6131953,0.0428,7.4558808,0.01866,11.069076,0.03851,0.76456452,5.5826024,0,100,0,0,1,,,,1.9828E-6,13.05445,54.078976,0.49133444,0
3762111498.71747,,1857,7.24661,7.24661,-0.0237960964441299,9.89999989542412E-6,7.3517967,0.14534682,3.5850498,0.04218,7.450123,0.01865,11.035173,0.03784,1.451761,5.5377576,0,100,0,0,1,,,,1.9927E-6,11.1652,54.048915,0.48764267,0
3762111559.02922,,1857,7.24838,7.24838,-0.0237960964441299,9.89999989542412E-6,7.355149,0.14724567,3.5574116,0.02331,7.4563804,0.01867,11.013792,0.02331,1.6599351,5.5601769,0.019123766,98.446432,0,0,1,,,,1.9841E-6,11.07552,54.098217,0.48366275,0
3762112140.55291,,1857,6.50426,6.50426,-0.0475921928882599,9.89999989542412E-6,6.603947,0.14022448,2.5630188,0.02977,5.6276324,0.01438,8.1906512,0.02607,0.76964852,4.7459168,0,100,0,0,1,,,,1.7258E-6,11.12035,43.612115,0.38810409,0
